"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit","Post engagements"
2023-04-11,2026-04-08,,0,,,,0,0,21231478.17,261590678,13218391,,,"7-day click or 1-day view",0,0,0,
2023-04-11,2026-04-08,CBL_Tiara_GoChok_Launch_S_35Sec_TVC_Awareness_IG_All_Interest_29Aug2025,completed,1045616,reach,64.68823163,"Using campaign budget",0,67639.05,1074485,1045616,2025-10-14,2025-08-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-01T17:50:56+0530,99117
2023-04-11,2026-04-08,CBL_Tiara_GoChok_Launch_S_5Sec_TVC_Awareness_IG_All_Interest_29Aug2025,completed,1045069,reach,61.9488474,"Using campaign budget",0,64740.82,1079048,1045069,2025-10-14,2025-09-02,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-02T17:48:07+0530,88159
2023-04-11,2026-04-08,CBL_Tiara_GoChok_Launch_S_10Sec_TVC_Awareness_IG_All_Interest_29Aug2025,completed,996407,reach,61.95174261,"Using campaign budget",0,61729.15,1099414,996407,2025-10-14,2025-09-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-03T01:12:33+0530,83436
2023-04-11,2026-04-08,CBL_Tiara_GoChok_Launch_S_10Sec_TVC_Awareness_IG_Gamers_03Sep2025,completed,790000,reach,63.44621519,"Using campaign budget",0,50122.51,839206,790000,2025-10-14,2025-09-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-04T10:47:34+0530,77610
2023-04-11,2026-04-08,CBL_Tiara_GoChok_Launch_S_10Sec_TVC_Awareness_IG_Students_03Sep2025,completed,840670,reach,66.31314309,"Using campaign budget",0,55747.47,879091,840670,2025-10-14,2025-09-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-04T10:47:33+0530,72347
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Retainer | October",inactive,22680,actions:post_engagement,2.64539153,60000,Lifetime,59997.48,224801,81295,2025-11-15,2025-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-21T10:58:40+0530,22680
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Retainer | November",inactive,8244,actions:post_engagement,3.57553615,30000,Lifetime,29476.72,103717,51273,2025-11-30,2025-11-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-11-25T14:39:30+0530,8244
2023-04-11,2026-04-08,"JM | Tiara | ThruPlays | Ah - Ha | Sinhala",completed,1643140,video_thruplay_watched_actions,0.51729993,850000,Lifetime,849996.21,5242480,2044673,2026-02-15,2025-11-26,"7-day click or 1-day view",0,CPA,2026-02-11T02:45:13+0530,2799747
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Ah - Ha | Sinhala",completed,860856,actions:post_engagement,0.23232689,200000,Lifetime,200000,1665261,804134,2026-02-15,2025-11-26,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T02:45:27+0530,860856
2023-04-11,2026-04-08,"JM | Tiara | ThruPlays | Rasahara Suwa Suraksha | Intro | I",completed,579060,video_thruplay_watched_actions,0.77705652,450000,Lifetime,449962.35,4184834,1597694,2025-12-30,2025-12-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-16T14:11:17+0530,2327401
2023-04-11,2026-04-08,"JM | Tiara | ThruPlays | Rasahara Suwa Suraksha | II",completed,286071,video_thruplay_watched_actions,0.69912714,200000,Lifetime,200000,611353,391775,2025-12-31,2025-12-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-16T14:11:49+0530,439183
2023-04-11,2026-04-08,"JM | Tiara | Reach | SLNQA",completed,491684,reach,61.01479812,30000,Lifetime,30000,701511,491684,2026-01-31,2026-01-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-22T23:44:50+0530,1107
2023-04-11,2026-04-08,"JM | Tiara | Engagement | SLNQA",completed,15573,actions:post_engagement,1.28427406,20000,Lifetime,20000,226227,155170,2026-01-31,2026-01-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-22T23:57:38+0530,15573
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Retainer | 2026 | January",inactive,8224,actions:post_engagement,3.64785992,30000,Lifetime,30000,76751,45465,2026-01-31,2026-01-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,8224
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Ah - Ha | Tamil",completed,130913,actions:post_engagement,0.26721135,35000,Lifetime,34981.44,317251,142982,2026-02-15,2026-02-02,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T02:42:49+0530,130913
2023-04-11,2026-04-08,"JM | Tiara | ThruPlays | Ah - Ha | Tamil",completed,132853,video_thruplay_watched_actions,0.63961032,85000,Lifetime,84974.15,202600,74357,2026-02-26,2026-02-02,"7-day click or 1-day view",0,CPA,2026-02-23T09:50:57+0530,153719
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Retainer | 2026 | February | Cricket",inactive,2707,actions:post_engagement,3.69412634,10000,Lifetime,10000,19703,11824,2026-02-28,2026-02-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-23T11:06:21+0530,2707
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Ah - Ha | Statics | Sinhala",completed,9714,actions:post_engagement,3.0876889,30000,Lifetime,29993.81,75174,34935,2026-03-31,2026-02-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-24T13:44:04+0530,9714
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Retainer | 2026 | March",completed,13424,actions:post_engagement,2.97919622,40000,Lifetime,39992.73,108184,48888,2026-03-31,2026-03-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-18T08:30:59+0530,13424
2023-04-11,2026-04-08,"JM | Tiara | Engagement | Retainer | April",recently_completed,1716,actions:post_engagement,2.91375291,5000,Lifetime,5000,15744,13949,2026-04-02,2026-04-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-01T11:11:44+0530,1716
2023-04-11,2026-04-08,"Detail Targeting 18 - 55",active,2192582,reach,104.63895535,800000,Lifetime,229429.49,3240078,2192582,2026-04-30,2026-04-05,"7-day click or 1-day view",25313.28,ABSOLUTE_OCPM,2026-04-08T05:00:59+0530,169208
2023-04-11,2026-04-08,"Tamil Audience",not_delivering,,,,200000,Lifetime,0,0,0,2026-04-30,2026-04-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,
