"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting","Post engagements"
2023-03-08,2026-04-08,,0,,,,0,0,21231478.17,261590678,13218391,,"7-day click or 1-day view",
2023-03-08,2026-04-08,"Reach - April 2023",inactive,2044730,reach,56.24214444,"Using ad set budget",0,115000,2695027,2044730,2023-05-12,"7-day click or 1-day view",38499
2023-03-08,2026-04-08,"Engagement - April 2023",inactive,431980,actions:post_engagement,0.89124497,"Using ad set budget",0,385000,1981601,1068899,2023-04-17,"7-day click or 1-day view",431980
2023-03-08,2026-04-08,"Awareness - Aug 2023",inactive,,,,"Using ad set budget",0,1160000,19624279,4276709,2023-08-31,"7-day click or 1-day view",1933155
2023-03-08,2026-04-08,"September 2023 Awareness",inactive,417628,reach,47.88950932,"Using ad set budget",0,20000,485602,417628,2023-10-01,"7-day click or 1-day view",800
2023-03-08,2026-04-08,"October 2023 Awareness",inactive,1334295,reach,82.44053976,"Using ad set budget",0,110000,3534581,1334295,2023-11-10,"7-day click or 1-day view",79735
2023-03-08,2026-04-08,"October 2023 Engagement",inactive,15134,actions:post_engagement,2.6430481,"Using ad set budget",0,39999.89,241805,142212,2023-11-06,"7-day click or 1-day view",15134
2023-03-08,2026-04-08,"November 2023 Awareness",inactive,983068,reach,81.37789044,"Using ad set budget",0,80000,2088238,983068,2023-12-17,"7-day click or 1-day view",13342
2023-03-08,2026-04-08,"November 2023 Engagement",inactive,39605,actions:post_engagement,1.00996995,"Using ad set budget",0,39999.86,199807,113358,2023-12-10,"7-day click or 1-day view",39605
2023-03-08,2026-04-08,"December 2023 Engagement",inactive,662311,actions:post_engagement,0.38501488,"Using ad set budget",0,254999.59,2037660,925759,2024-01-06,"7-day click or 1-day view",662311
2023-03-08,2026-04-08,"December 2023 Awareness",inactive,1180388,reach,80.482011,"Using ad set budget",0,95000,2802898,1180388,2024-01-16,"7-day click or 1-day view",35057
2023-03-08,2026-04-08,"Jan & Feb 2024 Awareness",inactive,1162343,reach,77.42981203,"Using ad set budget",0,90000,2355546,1162343,2024-03-01,"7-day click or 1-day view",18494
2023-03-08,2026-04-08,"Jan & Feb 2024 Engagement",inactive,72019,actions:post_engagement,1.11076619,"Using ad set budget",0,79996.27,380340,214139,2024-03-21,"7-day click or 1-day view",72019
2023-03-08,2026-04-08,"March 2024 Awareness",inactive,591357,reach,67.64103579,"Using ad set budget",0,40000,890937,591357,2024-03-31,"7-day click or 1-day view",1207
