"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2023-03-08,2026-04-08,,0,,,,0,0,23629805.08,273727592,10666314,,,"Multiple attribution settings",0,0,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,909,actions:offsite_conversion.fb_pixel_view_content,8.01282728,30000,Lifetime,7283.66,112488,31439,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,977,actions:offsite_conversion.fb_pixel_view_content,7.44663255,30000,Lifetime,7275.36,114723,46439,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1263,actions:offsite_conversion.fb_pixel_view_content,5.67356295,30000,Lifetime,7165.71,116772,62580,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,928,actions:offsite_conversion.fb_pixel_view_content,8.06252155,30000,Lifetime,7482.02,89263,27718,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1217,actions:offsite_conversion.fb_pixel_view_content,6.04119145,30000,Lifetime,7352.13,125701,62770,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,974,actions:offsite_conversion.fb_pixel_view_content,7.62854209,30000,Lifetime,7430.2,115088,26687,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,967,actions:offsite_conversion.fb_pixel_view_content,7.6955636,30000,Lifetime,7441.61,141344,68162,2023-03-15,2023-02-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,977,actions:offsite_conversion.fb_pixel_view_content,7.58194473,30000,Lifetime,7407.56,110531,34257,2023-03-15,2023-02-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,942,actions:offsite_conversion.fb_pixel_view_content,7.88440552,30000,Lifetime,7427.11,122469,43504,2023-03-15,2023-02-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,927,actions:offsite_conversion.fb_pixel_view_content,7.95431499,30000,Lifetime,7373.65,103818,51896,2023-03-15,2023-02-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Top crust",not_delivering,1817,actions:post_engagement,3.79101816,15000,Lifetime,6888.28,58205,37602,2023-03-28,2023-02-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Sandwich 450g",not_delivering,1511,actions:post_engagement,4.55325612,15000,Lifetime,6879.97,44078,27426,2023-03-28,2023-02-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Sandwich 750g",not_delivering,1571,actions:post_engagement,4.36034373,15000,Lifetime,6850.1,50274,28791,2023-03-28,2023-02-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
