"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2023-03-08,2026-04-08,,0,,,,0,0,23629805.08,273727592,10666314,,"Multiple attribution settings",0,0,0,-,-,-,
2023-03-08,2026-04-08,"Peoples Bank Fresh - Week 3 | ABO | Conversion | August 2024",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,246.2625,4000,Lifetime,985.05,4459,3317,2024-08-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Peoples Bank Fresh - Week 3 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"Union - Week 3 | ABO | Conversion | August 2024",not_delivering,,,,8000,Lifetime,867.9,4087,2931,2024-08-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Union/BOC - Week 3 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"BOC - Week 3 | ABO | Conversion | August 2024",not_delivering,,,,8000,Lifetime,1051.89,4948,3541,2024-08-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Union/BOC - Week 3 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"Peoples Bank - Week 3 | Maashie | ABO | Conversion | August 2024",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1958.32,4000,Lifetime,1958.32,6907,4717,2024-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Peoples Bank - Week 3 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"Peoples Bank - Week 4 | Maashie | ABO | Conversion | August 2024",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1804.52,4000,Lifetime,1804.52,6263,4447,2024-08-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Peoples Bank - Week 4 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"Com Bank - Week 3 | Maashie | ABO | Conversion | August 2024",not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,1156.83285714,15000,Lifetime,8097.83,39158,29765,2024-08-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Com Bank - Week 3 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"Pan Asia Bank - Week 3 | Maashie | ABO | Conversion | August 2024",not_delivering,17,actions:offsite_conversion.fb_pixel_purchase,140.68764706,4000,Lifetime,2391.69,8682,6834,2024-08-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Pan Asia Bank - Week 3 | ABO | Conversion | August 2024"
2023-03-08,2026-04-08,"Kettles | OIC | Conversion | August 2024",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,2631.87,5000,Lifetime,2631.87,15669,8993,2024-08-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"OI Conversion | Conversion | August 2024"
2023-03-08,2026-04-08,"Noodles | OIC | Conversion | August 2024",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,435.2725,5000,Lifetime,1741.09,9771,5862,2024-08-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"OI Conversion | Conversion | August 2024"
