"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting"
2023-03-08,2026-04-08,,0,,,,0,0,23629805.08,273727592,10666314,,"Multiple attribution settings"
2023-03-08,2026-04-08,"D2D Contents | Engagement | August 2024",completed,,,,"Using ad set budget",0,22417.7,62263,39907,2024-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Bakes Kitchen | Awareness | August 2024",completed,1395757,reach,64.48113819,"Using ad set budget",0,90000,2774086,1395757,2024-09-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Com Bank | Fresh & Total | August 2024",completed,414301,reach,38.61926474,"Using ad set budget",0,16000,500328,414301,2024-08-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB Bank | Total | August 2024",completed,143604,reach,34.81797164,"Using ad set budget",0,5000,150519,143604,2024-08-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Loyalty & Non Loyalty | Awareness | August 2024",not_delivering,1022984,reach,87.97791559,"Using ad set budget",0,90000,2639583,1022984,2024-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Thursday Online Promo | Conversion | August 2024",completed,42,actions:offsite_conversion.fb_pixel_purchase,947.37261905,"Using ad set budget",0,39789.65,253627,87324,2024-08-29,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Loyalty & Non Loyalty | Conversion | August 2024",completed,57,actions:offsite_conversion.fb_pixel_purchase,1403.50877193,"Using ad set budget",0,80000,405659,89150,2024-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"D2D Contents | Conversion | August 2024",completed,3,actions:offsite_conversion.fb_pixel_purchase,1666.26333333,"Using ad set budget",0,4998.79,24827,11779,2024-08-19,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB | Total | Awareness | August 2024",completed,406011,reach,49.25974912,"Using ad set budget",0,20000,532946,406011,2024-08-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB | Total | Conversion | August 2024",completed,,,,"Using ad set budget",0,20000,81592,35474,2024-08-30,"Multiple attribution settings"
2023-03-08,2026-04-08,"Special Offers - Ad 2 | Awareness | August 2024",completed,973548,reach,56.49431769,"Using ad set budget",0,54999.93,1336491,973548,2024-09-08,"7-day click or 1-day view"
2023-03-08,2026-04-08,"August Conversion Set | Conversion | August 2024",completed,,,,"Using ad set budget",0,121998.09,538382,124339,2024-09-03,"Multiple attribution settings"
2023-03-08,2026-04-08,"September Traffic Ads | 2024",not_delivering,20333,actions:link_click,5.02132937,"Using ad set budget",0,102098.69,1349432,455991,2024-10-20,"7-day click or 1-day view"
2023-03-08,2026-04-08,"October Conversion Ads | 2024",completed,387,actions:offsite_conversion.fb_pixel_purchase,630.68852713,"Using ad set budget",0,244076.46,848425,144620,2024-11-14,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Peoples F/T & BOC F | Conversion | November | 2024",completed,11,actions:offsite_conversion.fb_pixel_purchase,1346.39727273,15000,Lifetime,14810.37,56324,25143,2024-11-10,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Softlogic Careers - NE | Awareness | November | 2024",completed,678196,reach,44.23499991,"Using ad set budget",0,30000,693928,678196,2024-12-02,"7-day click or 1-day view"
2023-03-08,2026-04-08,"December Conversion Ads | 2024",completed,,,,"Using ad set budget",0,374699.69,1302417,266762,2025-01-10,"Multiple attribution settings"
2023-03-08,2026-04-08,"January Bank Promo Awareness Ads | 2025",completed,1056624,reach,94.64098866,100000,Lifetime,99999.94,3075486,1056624,2025-01-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"August Conversion Ads | 2025",completed,322,actions:offsite_conversion.fb_pixel_purchase,444.36596273,"Using ad set budget",0,143085.84,454151,88471,2025-08-31,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"August Awareness Ads | 2025",not_delivering,469320,reach,64.07713287,"Using ad set budget",0,30072.68,577617,469320,2025-09-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"JM | Main TVC Views | Selected Locations | 8th Oct -21st Oct",inactive,2436563,video_continuous_2_sec_watched_actions,0.23326889,3000000,Lifetime,568374.35,7453593,2605900,2025-11-21,"7-day click or 1-day view"
2023-03-08,2026-04-08,"JM | ගෙට Better Life Campaign | Reach",completed,2430092,reach,119.33704568,"Using ad set budget",0,290000,8527968,2430092,2026-01-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January - Bank Promo",completed,46,actions:offsite_conversion.fb_pixel_purchase,756.0026087,"Using ad set budget",0,34776.12,119337,44982,2026-01-31,"7-day click"
2023-03-08,2026-04-08,"Pay Day Sale",completed,61,actions:offsite_conversion.fb_pixel_purchase,983.2695082,"Using ad set budget",0,59979.44,139380,31041,2026-01-31,"7-day click"
2023-03-08,2026-04-08,"March - Bank Promo",completed,,,,"Using ad set budget",0,83348.26,295162,51148,2026-03-29,"Multiple attribution settings"
2023-03-08,2026-04-08,"Mega Pola | Conversion | August 2024",completed,70,actions:offsite_conversion.fb_pixel_purchase,500,"Using ad set budget",0,35000,188125,64775,2024-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"September Awareness Ads | 2024",completed,,,,"Using ad set budget",0,416845.07,12143410,2469063,2024-10-13,"7-day click or 1-day view"
2023-03-08,2026-04-08,"September Conversion Ads | 2024",completed,374,actions:offsite_conversion.fb_pixel_purchase,601.60379679,"Using ad set budget",0,224999.82,1069532,166435,2024-10-12,"7-day click or 1-day view"
