"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Views,"Post engagements","Link clicks",Ends,Starts
2023-03-09,2026-04-09,"Tea Feb loyalty",not_delivering,774,actions:offsite_conversion.fb_pixel_view_content,8.26928941,"Using ad set budget",0,6400.43,95862,27837,0,791,788,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Beverages Feb",not_delivering,816,actions:offsite_conversion.fb_pixel_view_content,7.8296201,"Using ad set budget",0,6388.97,99066,41057,0,824,810,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Chilled & Frozen Feb",not_delivering,1097,actions:offsite_conversion.fb_pixel_view_content,5.72230629,"Using ad set budget",0,6277.37,97941,54173,0,1263,1194,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Grocery Feb",not_delivering,790,actions:offsite_conversion.fb_pixel_view_content,8.35267089,"Using ad set budget",0,6598.61,75858,23715,0,829,821,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Grocery 2 Feb",not_delivering,1018,actions:offsite_conversion.fb_pixel_view_content,6.36101179,"Using ad set budget",0,6475.51,107602,54650,0,955,920,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Grocery 3 Feb",not_delivering,800,actions:offsite_conversion.fb_pixel_view_content,8.1807,"Using ad set budget",0,6544.56,99230,24416,0,940,940,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Baby needs Feb",not_delivering,836,actions:offsite_conversion.fb_pixel_view_content,7.83307416,"Using ad set budget",0,6548.45,123476,61208,0,875,848,2023-03-15,2023-02-12
2023-03-09,2026-04-09,"Cleaning consumables Feb",not_delivering,841,actions:offsite_conversion.fb_pixel_view_content,7.71843044,"Using ad set budget",0,6491.2,93578,30776,0,866,864,2023-03-15,2023-02-13
2023-03-09,2026-04-09,"Cleaning Consumables Feb 2",not_delivering,759,actions:offsite_conversion.fb_pixel_view_content,8.58196311,"Using ad set budget",0,6513.71,105813,39536,0,793,778,2023-03-15,2023-02-13
2023-03-09,2026-04-09,"Household 1",not_delivering,793,actions:offsite_conversion.fb_pixel_view_content,8.14921816,"Using ad set budget",0,6462.33,88302,45880,0,857,832,2023-03-15,2023-02-13
2023-03-09,2026-04-09,"Bread Feb",inactive,4472,actions:post_engagement,4.26190295,"Using ad set budget",0,19059.23,141025,74355,0,4472,91,2023-03-28,2023-02-28
2023-03-09,2026-04-09,"PickMe Food Promo",not_delivering,935,actions:post_engagement,6.41187166,"Using ad set budget",0,5995.1,46510,29205,0,935,,2023-03-11,2023-03-03
2023-03-09,2026-04-09,"SLO Online 9th March",not_delivering,2425,actions:offsite_conversion.fb_pixel_view_content,5.60189278,"Using ad set budget",0,13584.59,129181,83380,0,607,335,2023-03-09,2023-03-08
2023-03-09,2026-04-09,"Women's Day 2023",not_delivering,67878,actions:post_engagement,0.22098471,"Using ad set budget",0,15000,160390,110083,0,67878,2,2023-03-16,2023-03-08
2023-03-09,2026-04-09,"Seylan Bank March",not_delivering,3552,actions:offsite_conversion.fb_pixel_view_content,12.66891892,"Using ad set budget",0,45000,467329,267544,0,1817,1370,2023-03-31,2023-03-10
2023-03-09,2026-04-09,"HNB March",not_delivering,1533,actions:offsite_conversion.fb_pixel_view_content,16.30789302,"Using ad set budget",0,25000,295409,187186,0,1183,926,2023-03-24,2023-03-10
2023-03-09,2026-04-09,"SLO 11th Feb",not_delivering,1766,actions:post_engagement,8.49377123,"Using ad set budget",0,15000,81935,59878,0,1766,2,2023-03-11,2023-03-10
2023-03-09,2026-04-09,"Delivery Free March 23",not_delivering,7529,actions:offsite_conversion.fb_pixel_view_content,13.94607518,"Using ad set budget",0,105000,1019939,312427,0,3627,2544,2023-03-29,2023-03-13
2023-03-09,2026-04-09,"E-com March",not_delivering,2410,actions:offsite_conversion.fb_pixel_view_content,10.37344398,"Using ad set budget",0,25000,334883,160867,0,1081,665,2023-03-16,2023-03-10
2023-03-09,2026-04-09,"Com Bank Premium",not_delivering,2634,actions:offsite_conversion.fb_pixel_view_content,17.46393318,"Using ad set budget",0,46000,461460,242405,0,2098,1561,2023-03-28,2023-03-14
2023-03-09,2026-04-09,"SLO Online 16th March",not_delivering,2181,actions:offsite_conversion.fb_pixel_view_content,11.46263182,"Using ad set budget",0,25000,194932,120776,0,1015,644,2023-03-16,2023-03-15
2023-03-09,2026-04-09,"SLO 18th March",not_delivering,1702,actions:post_engagement,8.81316099,"Using ad set budget",0,15000,66833,45941,0,1702,2,2023-03-18,2023-03-17
2023-03-09,2026-04-09,"Weekend Fresh 17th March",not_delivering,955,actions:offsite_conversion.fb_pixel_view_content,8.37696335,"Using ad set budget",0,8000,63402,29533,0,265,23,2023-03-19,2023-03-17
2023-03-09,2026-04-09,"Buy 3 get 1 Free 17th March",not_delivering,3911,actions:post_engagement,2.04551266,"Using ad set budget",0,8000,91677,66156,0,3911,67,2023-03-19,2023-03-17
2023-03-09,2026-04-09,"Fresh Weekly 20th March",not_delivering,1356,actions:offsite_conversion.fb_pixel_view_content,13.27433628,"Using ad set budget",0,18000,144362,63962,0,668,39,2023-03-23,2023-03-20
2023-03-09,2026-04-09,"Avurudu Bonus main KV",not_delivering,9922,actions:post_engagement,5.84559565,"Using ad set budget",0,58000,382401,136223,0,9922,982,2023-04-28,2023-03-20
2023-03-09,2026-04-09,"Union Bank March",not_delivering,716,actions:offsite_conversion.fb_pixel_view_content,11.17318436,"Using ad set budget",0,8000,79565,54373,0,386,302,2023-03-26,2023-03-25
2023-03-09,2026-04-09,"Standard Chartered March",not_delivering,788,actions:offsite_conversion.fb_pixel_view_content,12.69035533,"Using ad set budget",0,10000,77751,56560,0,321,214,2023-03-22,2023-03-21
2023-03-09,2026-04-09,"SLO Online 23rd March",not_delivering,1223,actions:offsite_conversion.fb_pixel_view_content,12.26492232,"Using ad set budget",0,15000,109528,83566,0,643,421,2023-03-23,2023-03-23
