"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2025-09-19,2026-04-07,,0,,,,0,0,832689.69,9539450,3315868,,,"7-day click or 1-day view",0,0,0
2025-09-19,2026-04-07,"Reach | Teddy | September | Launch",inactive,379068,reach,79.53718066,30150,Lifetime,30150,679833,379068,2025-11-05,2025-09-19,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-03T05:20:01-0700
2025-09-19,2026-04-07,"Engagement | Teddy | September | Launch",completed,93809,actions:post_engagement,0.21986163,20625,Lifetime,20625,218327,107963,2025-10-15,2025-09-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-09-22T20:42:30-0700
2025-09-19,2026-04-07,"Engagement | Teddy | September | Teachers's Day",completed,3631,actions:post_engagement,2.0650537,7500,Lifetime,7498.21,34019,16376,2025-10-22,2025-10-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-05T21:26:08-0700
2025-09-19,2026-04-07,"Engagement | Teddy | September | I",completed,3183,actions:post_engagement,2.35598492,7500,Lifetime,7499.1,30047,10281,2025-10-31,2025-10-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-08T20:17:05-0700
2025-09-19,2026-04-07,"Engagement | Teddy | September | II",completed,2075,actions:post_engagement,3.61328193,7500,Lifetime,7497.56,15947,7220,2025-10-31,2025-10-17,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-17T12:42:23-0700
2025-09-19,2026-04-07,"Engagement | Teddy | September | III",completed,18576,actions:post_engagement,0.40374677,7500,Lifetime,7500,33503,22731,2025-10-30,2025-10-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-10-24T01:37:07-0700
2025-09-19,2026-04-07,"Reach | Teddy | November",completed,931806,reach,61.17153141,57000,Lifetime,57000,1627467,931806,2026-02-09,2025-11-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-02T22:11:25-0800
2025-09-19,2026-04-07,"Reach | Teddy | December | Christmas",inactive,252972,reach,51.84004554,20000,Lifetime,13114.08,267885,252972,2025-12-31,2025-12-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T09:26:28-0800
2025-09-19,2026-04-07,"Reach | Teddy | December | Tamil",completed,289559,reach,69.07055212,20000,Lifetime,20000,443394,289559,2026-02-20,2026-01-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-27T19:58:36-0800
2025-09-19,2026-04-07,"Reach | Teddy | December",completed,925666,reach,43.21213051,40000,Lifetime,40000,1262147,925666,2026-02-20,2026-01-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-04T20:59:09-0800
2025-09-19,2026-04-07,"Reach | Teddy | November | Tamil",inactive,122388,reach,40.85367847,5000,Lifetime,5000,162810,122388,2026-01-10,2026-01-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-01-05T20:22:06-0800
