"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2025-09-19,2026-04-07,,0,,,,0,0,832689.69,9539450,3315868,,"7-day click or 1-day view",0,0,0,-,-,-,
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | January | IG | III",not_delivering,251270,reach,39.55458272,25000,Lifetime,9938.88,276732,251270,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-05T02:30:07-0800,-,-,-,"Reach | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | January | IG | IV",not_delivering,8147,reach,39.65999755,25000,Lifetime,323.11,8377,8147,2026-02-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-05T02:30:07-0800,-,-,-,"Reach | Teddy | 2026 | January"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | January | Tamil | FB | I",inactive,47377,reach,43.9090698,5000,Lifetime,2080.28,52305,47377,2026-02-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-07T12:28:29-0800,-,-,-,"Reach | Teddy | 2026 | January | Tamil"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | January | Tamil | FB | II",inactive,50979,reach,40.31660095,5000,Lifetime,2055.3,54916,50979,2026-02-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-07T12:28:29-0800,-,-,-,"Reach | Teddy | 2026 | January | Tamil"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | January | Tamil | IG | I",inactive,15248,reach,37.04748164,5000,Lifetime,564.9,15929,15248,2026-02-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-07T12:28:29-0800,-,-,-,"Reach | Teddy | 2026 | January | Tamil"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | January | Tamil | IG | II",not_delivering,7457,reach,38.55706048,5000,Lifetime,287.52,7457,7457,2026-02-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-07T12:28:29-0800,-,-,-,"Reach | Teddy | 2026 | January | Tamil"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | FB | I",inactive,71888,reach,41.87959047,25000,Lifetime,3010.64,73145,71888,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,-,-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | IG | I",inactive,45075,reach,45.01053799,25000,Lifetime,2028.85,49176,45075,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,-,-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | FB | II",inactive,73969,reach,41.49197637,25000,Lifetime,3069.12,76719,73969,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,-,-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | FB | III",inactive,67854,reach,39.96374569,25000,Lifetime,2711.7,72941,67854,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,-,-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | IG | II",inactive,44807,reach,46.06266878,25000,Lifetime,2063.93,50267,44807,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,-,-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | IG | III",inactive,50336,reach,42.03273999,25000,Lifetime,2115.76,52982,50336,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,-,-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | FB | IV",not_delivering,39127,reach,36.57167685,25000,Lifetime,1430.94,40508,39127,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,"Above average",-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | FB | V",not_delivering,20010,reach,38.94502749,25000,Lifetime,779.29,20237,20010,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,"Above average",-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | IG | IV",not_delivering,162857,reach,43.05703777,25000,Lifetime,7012.14,190435,162857,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,"Above average",-,-,"Reach | Teddy | 2026 | February"
2025-09-19,2026-04-07,"Reach | Teddy | 2026 | February | IG | V",not_delivering,18363,reach,42.32532811,25000,Lifetime,777.22,19165,18363,2026-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-02-11T01:32:13-0800,"Above average",-,-,"Reach | Teddy | 2026 | February"
